Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.474263,-122.153298,Yes,2008,30,377565.570382205,175012.968839263
37.474234,-122.153097,Yes,2012,30,223821.548847087,39760.9013349514
37.47418,-122.152718,No,2004,15,378037.397796453,67391.0566437268
37.474154,-122.152509,No,2006,30,680449.21875,168650.598958333
37.474124,-122.152309,Yes,2006,10,680449.21875,98076.0861111111
37.474097,-122.152113,Yes,2012,30,215777.591253443,39981.138292011
37.474115,-122.151671,No,2006,30,680449.21875,98076.0861111111
37.473957,-122.151732,No,2007,30,583192.804641606,156251.237906454
37.474008,-122.151475,No,2017,58,576220.269663838,90590.6700595626
37.473961,-122.151136,No,2003,30,416027.309782608,71288.6726086956
37.473937,-122.150966,No,2011,30,325494.612817252,62830.2886115791
37.473913,-122.150795,Yes,2006,30,895504.774305555,206286.665277777
37.47389,-122.150625,No,2018,30,582377.718960443,62498.3353311536
37.473866,-122.150454,No,2016,30,546157.976642348,106787.291412333
37.473819,-122.150118,No,2017,30,576220.269663838,101332.963528067
37.473795,-122.149946,Yes,2007,30,583192.804641606,172195.108419905
37.473771,-122.149776,No,2012,30,215194.40857438,41705.4928374655
37.473747,-122.149609,No,2009,30,337469.978954679,23546.9579140195
37.473725,-122.149444,Yes,2007,31,583192.804641606,90344.2433274493
37.473791,-122.153321,No,2000,30,344220.020325203,53754.9719512195
37.473569,-122.153531,No,2006,30,680449.21875,177168.143055555
37.473457,-122.153601,No,2006,30,680449.21875,136392.265625
37.473359,-122.153651,No,2003,15,415106.895380434,91637.9305434782
37.473231,-122.153716,No,2018,30,583557.98648584,48489.9761257153
37.473104,-122.153781,No,2004,30,378782.870119772,75695.1610905241
37.473822,-122.153521,No,2012,30,214902.817234848,40216.2775482093
37.472932,-122.153868,No,2000,30,344220.020325203,33595.8739837398
37.473739,-122.152946,Yes,2007,30,583192.804641606,123297.740616951
37.473717,-122.152792,Yes,1992,30,255905.38132573,57401.9912330719
37.473696,-122.152644,No,2012,30,190136.15797546,31947.0305214723
37.473446,-122.152543,No,2000,31,344220.020325203,117752.358130081
37.473323,-122.152622,No,2016,30,1265901.04663614,206336.507810188
37.473225,-122.152672,No,2019,30,617389.803525817,120164.723750963
37.473131,-122.152722,No,2019,30,617389.803525817,127314.78660862
37.473003,-122.152784,No,2018,2,944214.020318031,1317125.68235851
37.472878,-122.15285,Yes,2015,30,490169.006864486,85289.9788200846
37.472783,-122.152894,Yes,2013,20,347498.840987821,79456.5550723953
37.472619,-122.153031,No,2006,31,680449.21875,167899.248611111
37.472933,-122.153251,No,2013,10,347498.840987821,60500.8567890211
37.473061,-122.153187,Yes,2012,30,326583.590626279,34406.771997526
37.473188,-122.153121,No,2016,30,546157.976642348,80671.0613023786
37.473315,-122.153058,No,2007,40,583192.804641606,123297.740616951
37.473471,-122.152967,Yes,2010,30,338294.654756117,51713.3972465788
37.472786,-122.153429,No,2008,30,377565.570382205,92314.7819584492
37.472742,-122.153291,No,2007,40,583192.804641606,33044.3250764437
37.472575,-122.152894,No,2015,15,489454.474784509,101120.579958399
37.472665,-122.15317,No,2016,31,546157.976642348,60702.2837667234
37.473603,-122.151377,No,2012,30,326677.638910969,56723.434148976
37.473445,-122.151455,No,2012,30,190136.15797546,31947.0305214723
37.473295,-122.151574,No,2007,40,583192.804641606,199909.998746033
37.473159,-122.151658,No,2007,30,583192.804641606,131461.133007301
37.473032,-122.151722,Yes,2018,30,584148.120248539,161485.416814346
37.472905,-122.151786,No,2016,21,546157.976642348,64090.4389871962
37.472778,-122.151851,No,2007,30,583192.804641606,171216.259320349
37.47265,-122.151916,Yes,2006,30,680449.21875,152145.757118055
37.472523,-122.15198,No,2017,30,576220.269663838,78141.5485884464
37.472368,-122.152274,Yes,2009,30,337469.978954679,32705.3010902548
37.472643,-122.152351,No,2012,30,326630.614768624,36299.8348824446
37.47277,-122.152286,No,2014,30,409912.861795417,82693.3741382806
37.472897,-122.152221,No,2006,30,680449.21875,94070.6763888889
37.473024,-122.152156,Yes,2012,30,162090.140264026,26166.9379537953
37.473151,-122.152091,No,2018,30,583853.05336719,62498.3353311536
37.47332,-122.151995,No,2017,30,576220.269663838,100828.874428851
37.473601,-122.151968,No,2007,30,583192.804641606,157845.624957799
37.473559,-122.151662,Yes,2002,30,289948.443579766,67813.2926070039
37.472364,-122.152546,No,2012,30,214757.021565082,42451.9666666666
37.472277,-122.151993,No,1989,30,241196.078629032,40925.2109677419
37.473465,-122.150397,No,2012,30,190136.15797546,31510.6524539877
37.473307,-122.150475,No,2012,30,326654.126839796,35353.3034399853
37.473146,-122.150603,Yes,2012,30,222896.666413834,39142.6688106796
37.472997,-122.150692,No,2012,30,214684.123730199,40294.6573002754
37.472869,-122.150757,No,2012,30,214647.674812758,33397.2391184573
37.472742,-122.150821,No,2019,30,617389.803525817,68816.9702374666
37.472615,-122.150886,No,2016,30,546157.976642348,86474.1662118188
37.472487,-122.15095,No,2012,30,282882.135646108,27029.3569750367
37.472047,-122.151279,Yes,1994,30,186269.019905533,29044.254048583
37.472107,-122.151467,No,2017,30,546157.976642348,80671.0613023786
37.472607,-122.151321,No,2017,30,576220.269663838,67554.5720463446
37.472703,-122.151273,Yes,2019,1,1626941.3706646,4433084.54730361
37.472766,-122.15124,Yes,2012,16,326665.882875382,61551.6886765333
37.472862,-122.151192,No,2006,30,680449.21875,144269.011371527
37.472989,-122.151127,No,2018,30,584000.586807864,146331.591114544
37.473084,-122.151078,No,2018,30,583926.820087527,133616.535341507
37.473202,-122.151007,Yes,2010,30,336575.897275241,51596.5869776571
37.473464,-122.150989,No,2015,20,489811.740824497,49454.7659450588
37.473445,-122.150833,No,2017,30,576220.269663838,120994.649314621
37.473422,-122.150683,No,2007,40,583192.804641606,68403.1251266024
37.472168,-122.15165,Yes,2018,30,583889.936727358,98057.4353363307
37.473357,-122.149607,Yes,1989,30,239420.569556451,54810.2382258064
37.473194,-122.149647,No,2012,30,326671.760893175,48208.1918081483
37.472832,-122.149728,No,2016,30,546157.976642348,64807.3595353468
37.4727,-122.149776,Yes,2005,30,662509.856630824,162551.475985663
37.472567,-122.149823,No,2019,30,617389.803525817,135003.276968751
37.472434,-122.14987,Yes,2012,30,190136.15797546,35350.7794478527
37.472301,-122.149918,Yes,2012,30,214665.899271479,31590.7724517906
37.472168,-122.149965,No,2017,30,576220.269663838,58479.8628018929
37.472036,-122.150013,Yes,2012,30,222434.225197208,35880.5057038835
37.471903,-122.15006,No,2012,30,162090.140264026,24297.8709570957
37.471672,-122.15012,No,1988,30,238215.384615384,28700.372781065
37.471723,-122.150278,No,2018,30,583908.378407443,112065.794541769
37.471775,-122.150438,No,2014,31,407409.031051466,37033.8028436739
37.472059,-122.150541,Yes,2013,30,347498.840987821,65568.2331932502
37.472186,-122.150477,No,2017,1,647729.619676077,1761381.27664001
37.472314,-122.150412,No,2010,30,337469.978954679,66189.9012757706
37.472441,-122.150348,No,1990,30,180758.96614384,35039.5100994644
37.472568,-122.150283,Yes,2018,30,583899.157567401,87282.0649364613
37.472696,-122.150219,No,2005,30,660775.537634408,97190.5428315412
37.472823,-122.150154,No,2012,30,222665.445805521,33992.92342233
37.47295,-122.15009,No,2006,30,680449.21875,89063.9142361111
37.473082,-122.150006,No,2012,30,326668.821884279,72128.7644711969
37.473413,-122.14992,No,2012,30,214675.011500839,40959.0190082644
37.473252,-122.149984,Yes,2006,40,680449.21875,191709.930902777
37.471604,-122.149935,No,2012,30,190136.15797546,38584.1331288343
37.47188,-122.150759,No,2012,30,214670.455386159,36454.0494490358
37.47245,-122.15417,No,1992,30,255905.38132573,50707.8927298645
37.472404,-122.154031,No,1989,30,238532.815020161,30079.8552419354
37.471964,-122.154362,No,2018,30,583903.767987422,133328.415177593
37.471836,-122.154427,No,2017,30,576220.269663838,80663.0995430809
37.471455,-122.154621,No,2005,30,661642.697132616,63660.6068100358
37.47119,-122.15471,No,2007,30,583192.804641606,116426.847237896
37.471,-122.154746,No,2017,30,576220.269663838,112704.815641318
37.47133,-122.154689,No,2015,30,489990.373844492,67372.3723825717
37.471582,-122.154556,No,2017,30,576220.269663838,80663.0995430809
37.471915,-122.154664,No,2003,30,415567.102581521,71288.6726086956
37.471725,-122.154539,No,2007,30,583192.804641606,191762.942288586
37.472108,-122.15435,No,2014,30,408660.946423442,40839.6255744796
37.472218,-122.154233,No,2015,30,490079.690354489,85289.9788200846
37.472511,-122.154304,No,1999,30,240158.547794117,98279.4852941176
37.472287,-122.153684,No,2017,30,576220.269663838,110104.777129569
37.472227,-122.153499,No,2011,30,325373.396148511,46288.2036907784
37.471922,-122.153334,No,2012,30,190136.15797546,29677.8645705521
37.471795,-122.153398,No,2003,30,657175.883152174,216150.118206521
37.471668,-122.153462,Yes,2015,30,490035.03209949,78831.752068417
37.471541,-122.153527,No,1996,30,198337.864483747,35134.5677501593
37.471414,-122.153591,Yes,2016,30,490012.702971991,92038.591409055
37.471287,-122.153656,No,2003,30,415797.206182065,60841.6009782608
37.471159,-122.153721,Yes,2002,30,286182.879377431,30516.1322957198
37.470906,-122.153849,No,2016,30,546157.976642348,80671.0613023786
37.47078,-122.153913,No,2013,15,326667.352379831,71559.9014347065
37.470652,-122.153978,No,2007,30,583192.804641606,127379.436812126
37.470524,-122.154043,No,2005,30,662076.27688172,80425.5748207885
37.47005,-122.154177,Yes,2017,30,576220.269663838,124019.183909921
